file,title,desc,image,html,data,plugin,tip
contactlist,Ajax Contact List,"Create, edit and delete contacts using an Ajax web form.  (Degradable)",contactlist.png,views/contactlist.html,addressbook.csv,,Use the form below to add new contacts
ajax-file-upload,Ajax File Upload,Uploads an image using an Ajax Web Form,ajax-upload.png,,,,
userconfirm,Client Confirm,Displays a confirmation dialog to the user,confirm.png,,,,
csv-table,CSV To HTML Table,Converts a CSV datasource into an HTML using the Table Plugin,csv-table.png,,addressbook.csv,,
database,Database Connector,Retrieves and display records from a database,placeholder.png,,,,
plugins,Date &amp; Time Plugin,An example of a basic plugin,placeholder.png,template.html,,plugins/showdate.php,
date-entry,Date Entry,An example of how to use the Data Sanitizer date() method,placeholder.png,,,,Enter a valid date then click the send button
calculator,Degradable Ajax  Calculator,Adds to number and displays the result,placeholder.png,,,,Enter two numeric values and click the Add button
dragdrop,Drag and Drop, Drag and drop items into a shopping cart,placeholder.png,views/dragdrop.html,,,Drag and drop the items into the shopping cart
drag,Draggables,Draggable DIV example,placeholder.png,,,,Drag the yellow box to update the X and Y coordinates
editable,Editable List Items,Edit and update a list of items via Ajax,placeholder.png,,fruits.csv,,
employees,Employee Data Table, Displays a list of employee records inside a table/grid with a pager.,employees.png,views/employees.html,,,Click to selected a record. Press the Ctrl (PC) or Meta (MAC) key to select multiple rows.
searchbox,Employee Search Box,Query and display employee records using an Ajax-based search form.,placeholder.png,views/searchbox.html,,,Type a name or parts of a name (e.g. ma) inside the box provide then select an record from the results. 
custom-methods,Extending the RaxanElement Class,Use callback methods to extending the RaxanElement,placeholder.png,views/custom-methods.html,,,
fadein,Fade In & Out,Take control of a Div element with the Rich Client Extension (CLX),placeholder.png,,,,
signup-form,Form Post Back,Demo showing how to handle form post and validation checks.,placeholder.png,views/signup-form.html,,,
update-form,Form Validation,Example showing how to add Custom validation to RaxanDataSanitizer,placeholder.png,views/update-form.html,,,
hello,Hello World, A simple hello world app,placeholder.png,,,,
hyperlinks,Hyperlinks, Displays content via Ajax when a hyperlink is clicked.,placeholder.png,,,,
yourname,Input Client Input Prompt,Displays a client-side input prompt to th user,placeholder.png,,,,
mobile-weather,Mobile Weather,Displays weather information for a city or location on a mobile phone or Wap-Enabled device.,placeholder.png,,,,
multi-lang,Multilingual Date Display,Displays the current date in multiple languages,placeholder.png,,,,
switchboard,Multiple Page Views,Use the switchboard to change the view of a web page,placeholder.png,,,,
inventory,Phone Inventory,A simple Ajax application that display items from a CSV data file,inventory.png,,inventory.csv,,Click  on an item from the list below
pixelslide,Pixel Slide Show, Ajax slide show with fade-in effect,pixelslide.png,,,,
state,Preserve Element State,Preserves the state of an element during postbacks and releoads,placeholder.png,,,,
randdiv,Random DIVs,Randomly generated DIV elements with mouse over effect,placeholder.png,,,,
shoutbox,ShoutBox, A simple ajax ShoutBox,shoutbox.png,,,,
embedded-app,ShoutBox - Embedded ,This example shows how to embed the ShoutBox application inside an HTML web page.,placeholder.png,,,,
show-hide-menu,Show/Hide Menu Button, Displays a dynamic menu when the button is clicked,placeholder.png,,,,
slideoutpanel,Slide Out Panel, Ajax slide out Panel,placeholder.png,,,,
slidebox,Sliding Box,Change box location when clicked,placeholder.png,,,,
template,Template Manager,Adds a master template to a page,placeholder.png,,,,
form-state,Web Form Post Back Test,Example showing the use of the $page->preserveFormContent property.,placeholder.png,,,,
web-page-extractor,Web Page Extractor,Example showing how to extract data from a Yahoo search page.,placeholder.png,,,,
zebra-stripes,Zebra Stripe Table,How to add Zebra Stripes to an HTML table,zebrastripes.png,views/zebra-stripes.html,,,Click on the Toggle Stripes link to toggle the Zebra Stripes
